id,title,overview,genres,cast,director,keywords,vote_average,popularity
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Action,Adventure,Science Fiction","Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson",Joss Whedon,"marvel comic,comic,sequel,superhero,vision",7.4,5.944927
273248,The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"Crime,Drama,Mystery,Western","Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÃ¡n Bichir",Quentin Tarantino,"bounty hunter,wyoming,mountains,hangman,voice over narration",7.4,5.8984
260346,Taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.","Crime,Action,Thriller","Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott",Olivier Megaton,"revenge,murder,on the run,fugitive,framed",6.1,5.749758
102899,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.","Science Fiction,Action,Adventure","Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale",Peyton Reed,"marvel comic,superhero,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe",7.0,5.573184
150689,Cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.","Romance,Fantasy,Family,Drama","Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,Holliday Grainger",Kenneth Branagh,"cinderella,magic,fairy tale,princess,shoe",6.8,5.556818
131634,The Hunger Games: Mockingjay - Part 2,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends â€“ including Gale, Finnick, and Peeta â€“ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.","War,Adventure,Science Fiction","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks",Francis Lawrence,"revolution,strong woman,dystopia,game of death,3d",6.5,5.476958
158852,Tomorrowland,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""","Action,Family,Science Fiction,Adventure,Mystery","Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie",Brad Bird,"inventor,apocalypse,destiny,imax,dreamer",6.2,5.462138
307081,Southpaw,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most.","Action,Drama","Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent",Antoine Fuqua,sport,7.3,5.337064
254128,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.","Action,Drama,Thriller","Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi",Brad Peyton,"california,earthquake,catastrophe,disaster film,3d",6.1,4.907832
216015,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.","Drama,Romance","Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk",Sam Taylor-Johnson,"based on novel,billionaire,bdsm,woman director,erotic movie",5.3,4.71040199999999
318846,The Big Short,The men who made millions from a global economic meltdown.,"Comedy,Drama","Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo",Adam McKay,"bank,fraud,biography,wall street,finances",7.3,4.648046
177677,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",Action,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames",Christopher McQuarrie,"spy,sequel,mission",7.1,4.566713
214756,Ted 2,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Comedy,"Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi",Seth MacFarlane,"sperm bank,sequel,buddy,courthouse,teddy bear",6.3,4.564549
207703,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,"Crime,Comedy,Action,Adventure","Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine,Mark Strong",Matthew Vaughn,"spy,great britain,secret organization,secret agent,marvel comic",7.6,4.503789
314365,Spotlight,"The true story of how The Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Drama,Thriller,History","Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery",Tom McCarthy,"child abuse,journalism,judge,florida,boston",7.8,4.062293
294254,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKDâ€™s vastly superior forces and uncover its shocking plans for them all.","Action,Science Fiction,Thriller","Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen",Wes Ball,"based on novel,resistance,maze,post-apocalyptic,dystopia",6.4,3.968891
280996,Mr. Holmes,"The story is set in 1947, following a long-retired Holmes living in a Sussex village with his housekeeper and rising detective son. But then he finds himself haunted by an unsolved 50-year old case. Holmes' memory isn't what it used to be, so he only remembers fragments of the case: a confrontation with an angry husband, a secret bond with his beautiful but unstable wife.","Mystery,Drama","Ian McKellen,Milo Parker,Laura Linney,Hattie Morahan,Patrick Kennedy",Bill Condon,"london,detective,sherlock holmes",6.4,3.927333
198184,Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.","Crime,Action,Science Fiction","Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo",Neill Blomkamp,"artificial intelligence,android,robot,near future,robot cop",6.6,3.899557
254470,Pitch Perfect 2,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.","Comedy,Music","Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin",Elizabeth Banks,"music,sequel,singer,male female relationship,audition",6.8,3.877764
296098,Bridge of Spies,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.","Thriller,Drama","Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Sebastian Koch",Steven Spielberg,"spy,cia,cold war,pilot,lawyer",7.1,3.64821
257445,Goosebumps,"A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.","Adventure,Horror,Comedy","Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Jillian Bell",Rob Letterman,"based on novel,magic,fantasy,family,3d",6.2,3.644541
264644,Room,Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,"Drama,Thriller","Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy",Lenny Abrahamson,"based on novel,carpet,isolation,imprisonment,grandparents",8.0,3.557846
339527,Solace,"A psychic doctor, John Clancy, works with an FBI special agent in search of a serial killer. After having lived in isolation for two years, since the death of his daughter, Clancy is asked by his friend Joe, an FBI special agent to help him solve several murders committed by a serial killer.","Crime,Drama,Mystery","Abbie Cornish,Jeffrey Dean Morgan,Colin Farrell,Anthony Hopkins,Marley Shelton",Afonso Poyart,"thriller,serial killer,psychic,fbi agent,intrigue",6.2,3.358321
105864,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"Adventure,Animation,Comedy,Family,Fantasy","Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla",Peter Sohn,"tyrannosaurus rex,friends,animation,alternate history,dinosaur",6.6,3.339135
241554,Run All Night,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his pastâ€”as well as a dogged police detective whoâ€™s been one step behind Jimmy for 30 years. But when Jimmyâ€™s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.","Action,Crime,Drama,Mystery,Thriller","Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill",Jaume Collet-Serra,"hitman,revenge,murder,on the run,mobster",6.3,3.23737
167073,Brooklyn,"In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.","Drama,Romance","Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards,Eileen O'Higgins",John Crowley,"love triangle,based on novel,homesickness,vororte,ship",7.3,3.227329
277216,Straight Outta Compton,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebelsâ€”armed only with their lyrics, swagger, bravado and raw talentâ€”stood up to the authorities that meant to keep them down and formed the worldâ€™s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.","Drama,Music","O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,Aldis Hodge",F. Gary Gray,"brother brother relationship,aids,police brutality,hip-hop,wife husband relationship",7.7,3.202719
274854,The Last Witch Hunter,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.","Fantasy,Action,Adventure","Vin Diesel,Rose Leslie,Michael Caine,Elijah Wood,Ã“lafur Darri Ã“lafsson",Breck Eisner,"new york,witch,uprising,witch hunter",5.6,3.080505
321697,Steve Jobs,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.","History,Drama","Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston,Jeff Daniels",Danny Boyle,"biography,computer,based on true story,father daughter relationship,apple computer",6.9,3.079522
203801,The Man from U.N.C.L.E.,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.","Comedy,Action,Adventure","Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki,Luca Calvani",Guy Ritchie,"spy,cold war,remake,based on tv series,buddy cop",7.0,3.053421
293863,The Age of Adaline,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.","Fantasy,Drama,Romance","Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Kathy Baker",Lee Toland Krieger,"san francisco,immortality,love,forever",7.3,3.025852
325348,Hardcore Henry,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore takes place over the course of one day, in Moscow, Russia.","Action,Adventure,Science Fiction","Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev",Ilya Naishuller,"female nudity,cyborg,nudity,murder,gore",5.9,3.023253
228161,Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip (Rihanna), manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh (Jim Parsons). The two fugitives realize thereâ€™s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.","Fantasy,Comedy,Animation,Science Fiction,Family","Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,Matt Jones",Tim Johnson,"friendship,spaceship,space,alien,alien invasion",6.9,2.976436
286565,Paper Towns,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life-dressed like a ninja and summoning him for an ingenious campaign of revenge-he follows. After their all-nighter ends and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues-and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees of the girl he thought he knew.","Drama,Mystery,Romance","Nat Wolff,Cara Delevingne,Halston Sage,Justice Smith,Austin Abrams",Jake Schreier,"friendship,high school,teen,classmate,based on young adult book",6.2,2.968254
265208,Wild Card,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last playâ€¦ and it's all or nothing.","Thriller,Crime,Drama","Jason Statham,Michael Angarano,Milo Ventimiglia,Dominik GarcÃ­a-Lorido,Anne Heche",Simon West,"gambling,bodyguard,remake",5.3,2.93234
254320,The Lobster,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","Thriller,Comedy,Drama,Romance,Science Fiction","Colin Farrell,Rachel Weisz,LÃ©a Seydoux,John C. Reilly,Ben Whishaw",Yorgos Lanthimos,dystopia,6.6,2.885126
258480,Carol,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.","Romance,Drama","Cate Blanchett,Rooney Mara,Kyle Chandler,Sarah Paulson,Jake Lacy",Todd Haynes,"gay,new york,female nudity,chicago,sex",7.1,2.883233
257211,The Intern,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",Comedy,"Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm,JoJo Kushner",Nancy Meyers,"intern,woman director",7.1,2.814802
253412,Everest,"Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.","Adventure,Drama","Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes,Sam Worthington",Baltasar KormÃ¡kur,"mountains,snow storm,hiking,snow,death",6.7,2.798017
274479,Joy,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,"Comedy,Drama","Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco,Edgar RamÃ­rez",David O. Russell,biography,6.4,2.793297
257088,Point Break,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".","Action,Crime,Thriller","Edgar RamÃ­rez,Luke Bracey,Teresa Palmer,Delroy Lindo,Ray Winstone",Ericson Core,"undercover,undercover agent,extreme sports,fbi agent,3d",5.5,2.614499
295964,Burnt,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",Drama,"Bradley Cooper,Sienna Miller,Lily James,Alicia Vikander,Uma Thurman",John Wells,"london,cook,restaurant,diva,career",6.3,2.584264
238615,Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"Science Fiction,Mystery,Thriller","Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode,Michelle Dockery",Tarsem Singh,"lie,immortality,terminal illness,laboratory,cancer",6.2,2.578919
210860,Mortdecai,"Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.","Comedy,Adventure","Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn",David Koepp,"based on novel,painting,debt,art dealer,stolen painting",5.3,2.575711
306819,The Danish Girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",Drama,"Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Amber Heard,Ben Whishaw",Tom Hooper,"paris,denmark,copenhagen,artist,art",7.3,2.557859
201088,Blackhat,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,"Mystery,Crime,Action,Thriller,Drama","Chris Hemsworth,Leehom Wang,Tang Wei,Viola Davis,Holt McCallany",Michael Mann,"terrorist,technology,anti hero,hacker,computer virus",5.0,2.550747
273481,Sicario,"A young female FBI agent joins a secret CIA operation to take down a Mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit.","Action,Crime,Drama,Mystery,Thriller","Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal",Denis Villeneuve,"mexico,cia,smoking,texas,fbi",7.1,2.487849
166424,Fantastic Four,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.","Action,Adventure,Science Fiction","Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell,Toby Kebbell",Josh Trank,"teleportation,transformation,telekinesis,portal,marvel comic",4.4,2.487042
310131,The Witch,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.","Mystery,Horror","Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Ellie Grainger",Robert Eggers,"witch,new england,17th century",5.8,2.46449
238713,Spy,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action,Comedy,Crime","Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale",Paul Feig,"spy,cia,undercover,arms dealer,disaster",6.9,2.404473
256591,Focus,"A veteran grifter takes a young, attractive woman under his wing, but things get complicated when they become romantically involved.","Romance,Comedy,Crime,Drama","Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor,Gerald McRaney",Glenn Ficarra|John Requa,"seduction,con man,femme fatale,deception,con artist",6.7,2.395366
249070,Hitman: Agent 47,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,"Action,Crime,Thriller","Rupert Friend,Zachary Quinto,Hannah Ware,Emilio Rivera,Rolf Kanies",Aleksander Bach,"assassin,secret identity,intelligence,hitman,execution",5.5,2.354654
205775,In the Heart of the Sea,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melvilleâ€™s Moby Dick.Â  But that told only half the story.Â  â€œHeart of the Seaâ€ reveals the encounterâ€™s harrowing aftermath, as the shipâ€™s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.Â  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.","Thriller,Drama,Adventure,Action,History","Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw",Ron Howard,"suicide,ocean,sea,hunger,shipwreck",6.4,2.345821
